latitude,longitude,acq_date,frp
38.76965,-122.65853,2025-02-28,0.28
38.90868,-122.07202,2025-02-28,2.4
38.94139,-122.03875,2025-02-28,1.18
38.94218,-122.04331,2025-02-28,1.18
39.08296,-121.16325,2025-02-28,0.6
39.20806,-122.30083,2025-02-28,0.64
39.21138,-122.2999,2025-02-28,0.64
39.61903,-119.26393,2025-02-28,1.31
39.6506,-120.6293,2025-02-28,0.8
39.82795,-121.701,2025-02-28,0.77
40.46545,-123.63026,2025-02-28,0.36
40.47639,-123.67895,2025-02-28,0.51
40.5114,-123.77297,2025-02-28,0.72
40.55186,-123.8137,2025-02-28,1.22
32.47923,-116.86845,2025-02-28,0.5
32.59775,-117.01005,2025-02-28,1.0
32.60694,-115.02065,2025-02-28,0.87
32.63237,-115.55806,2025-02-28,0.67
33.71663,-117.70894,2025-02-28,0.7
33.79319,-117.47539,2025-02-28,0.83
33.81789,-118.24377,2025-02-28,0.98
34.04016,-117.82104,2025-02-28,0.49
34.29237,-118.80203,2025-02-28,1.04
34.33289,-118.52039,2025-02-28,0.5
34.33698,-118.51917,2025-02-28,0.5
34.42899,-118.64476,2025-02-28,1.37
34.48107,-118.89193,2025-02-28,0.35
34.81924,-118.75098,2025-02-28,0.62
36.75011,-118.98058,2025-02-28,1.26
37.17986,-119.70318,2025-02-28,0.66
37.26204,-119.60351,2025-02-28,0.53
37.45545,-121.9322,2025-02-28,0.45
37.65027,-120.62862,2025-02-28,2.15
37.77589,-120.73113,2025-02-28,1.04
37.77683,-120.73611,2025-02-28,1.04
37.78286,-120.72903,2025-02-28,0.97
37.88258,-121.18719,2025-02-28,0.82
38.07011,-122.13653,2025-02-28,0.75
38.0709,-122.14112,2025-02-28,1.07
38.59015,-122.43015,2025-02-28,0.63
38.94498,-122.04055,2025-02-28,3.6
39.40765,-118.75028,2025-02-28,3.01
39.49031,-122.16051,2025-02-28,3.32
39.49321,-122.16216,2025-02-28,4.53
39.66172,-121.85271,2025-02-28,4.41
39.68436,-121.85529,2025-02-28,11.91
39.75839,-121.92691,2025-02-28,3.66
39.79499,-122.1359,2025-02-28,6.2
39.79785,-122.12749,2025-02-28,7.76
41.65815,-122.58106,2025-02-28,16.03
41.65837,-122.58128,2025-02-28,14.33
32.06614,-115.03238,2025-02-28,45.79
36.78458,-120.35598,2025-02-28,1.05
37.92796,-120.2822,2025-02-28,1.89
37.93626,-120.28951,2025-02-28,3.33
38.19833,-121.37593,2025-02-28,2.3
38.40343,-121.72507,2025-02-28,4.28
38.4287,-120.4751,2025-02-28,6.9
38.46063,-122.39121,2025-02-28,4.19
38.49509,-122.00798,2025-02-28,6.55
38.51851,-121.89613,2025-02-28,6.7
38.52259,-121.89676,2025-02-28,6.7
38.54729,-122.021,2025-02-28,1.85
38.55046,-122.02412,2025-02-28,4.23
38.55135,-122.02161,2025-02-28,1.85
38.55845,-121.98375,2025-02-28,2.16
38.59548,-122.02667,2025-02-28,4.12
38.59908,-122.03189,2025-02-28,4.12
38.84628,-119.16701,2025-02-28,5.28
38.9115,-122.06837,2025-02-28,41.32
38.94312,-122.04051,2025-02-28,2.95
39.05367,-122.0414,2025-02-28,2.93
39.07622,-122.18749,2025-02-28,2.91
39.15477,-122.26413,2025-02-28,2.27
39.21268,-122.30003,2025-02-28,45.59
39.21671,-122.30073,2025-02-28,40.71
39.24463,-121.66086,2025-02-28,1.71
39.47981,-121.46033,2025-02-28,1.93
39.5164,-122.17249,2025-02-28,33.0
39.52047,-122.17315,2025-02-28,33.0
39.56929,-122.18095,2025-02-28,20.83
39.66049,-121.859,2025-02-28,5.4
39.66463,-121.85966,2025-02-28,5.4
39.6858,-121.85808,2025-02-28,14.96
39.75638,-121.93028,2025-02-28,2.47
39.78632,-122.05586,2025-02-28,1.22
39.7954,-122.13392,2025-02-28,5.48
39.89068,-123.29015,2025-02-28,8.18
39.92624,-123.17843,2025-02-28,15.61
39.92646,-123.1767,2025-02-28,16.3
39.92707,-123.17089,2025-02-28,3.48
39.92743,-123.16678,2025-02-28,2.0
40.42342,-123.79955,2025-02-28,12.51
40.42721,-123.80022,2025-02-28,3.08
40.43239,-123.78799,2025-02-28,3.77
40.43309,-123.78149,2025-02-28,2.97
40.46474,-123.6304,2025-02-28,4.13
36.51008,-119.92475,2025-03-01,0.51
36.96767,-120.25287,2025-03-01,2.66
37.18267,-121.67845,2025-03-01,0.51
37.45492,-121.9324,2025-03-01,1.1
37.7559,-121.65942,2025-03-01,0.65
37.94997,-122.40147,2025-03-01,1.19
37.96601,-121.02283,2025-03-01,0.76
38.02702,-122.06093,2025-03-01,1.11
38.07024,-122.13836,2025-03-01,1.29
38.51363,-121.19206,2025-03-01,0.51
38.90888,-122.06892,2025-03-01,0.82
38.90953,-122.07381,2025-03-01,2.07
38.92087,-120.69342,2025-03-01,0.23
38.94128,-122.04017,2025-03-01,0.56
38.97578,-122.05804,2025-03-01,0.56
39.05282,-122.03972,2025-03-01,0.48
39.21205,-122.30151,2025-03-01,0.61
39.21556,-122.30074,2025-03-01,0.61
39.21907,-122.29997,2025-03-01,0.36
39.89875,-123.30086,2025-03-01,0.61
40.42305,-123.80344,2025-03-01,0.73
40.42463,-123.80434,2025-03-01,1.01
40.56133,-123.69846,2025-03-01,3.05
32.06242,-115.0311,2025-03-01,1.47
32.57126,-115.32382,2025-03-01,4.54
32.57516,-115.32273,2025-03-01,3.16
34.35251,-116.85326,2025-03-01,1.14
32.60836,-115.60876,2025-03-01,16.97
32.60881,-115.60442,2025-03-01,18.46
32.61294,-115.605,2025-03-01,18.46
32.63041,-115.4784,2025-03-01,1.15
33.92081,-114.42565,2025-03-01,8.69
33.92294,-114.43008,2025-03-01,10.19
33.92344,-114.42477,2025-03-01,10.19
33.92484,-114.43155,2025-03-01,6.48
33.9253,-114.42622,2025-03-01,8.69
35.07065,-119.07167,2025-03-01,8.22
35.07422,-119.07229,2025-03-01,41.89
35.07483,-119.06735,2025-03-01,12.63
35.07989,-118.93683,2025-03-01,3.3
35.48897,-120.23362,2025-03-01,2.12
35.50478,-119.30297,2025-03-01,2.64
35.73787,-120.58138,2025-03-01,3.93
36.3253,-120.2707,2025-03-01,1.25
36.62327,-119.73551,2025-03-01,1.25
36.78622,-120.00693,2025-03-01,2.43
36.9055,-119.99861,2025-03-01,2.54
36.9448,-120.17278,2025-03-01,4.17
37.73444,-120.84409,2025-03-01,3.0
37.77938,-120.82433,2025-03-01,3.73
37.78564,-120.83047,2025-03-01,2.49
37.92809,-120.28178,2025-03-01,1.3
38.3821,-122.43073,2025-03-01,3.04
38.41076,-122.25293,2025-03-01,5.3
38.42689,-120.48237,2025-03-01,7.66
38.46852,-122.03777,2025-03-01,3.8
38.47115,-122.21552,2025-03-01,8.58
38.47177,-122.21113,2025-03-01,8.58
38.48744,-121.97643,2025-03-01,4.42
38.53551,-121.95441,2025-03-01,3.6
38.53556,-121.95786,2025-03-01,5.2
38.55088,-122.02232,2025-03-01,3.48
38.5951,-122.02761,2025-03-01,10.9
38.59574,-122.02308,2025-03-01,10.9
38.59601,-121.89622,2025-03-01,3.32
38.59664,-121.89164,2025-03-01,3.32
38.7419,-122.61598,2025-03-01,3.03
39.03364,-120.93503,2025-03-01,2.9
39.42593,-118.78127,2025-03-01,2.83
39.59128,-121.40508,2025-03-01,2.45
40.00521,-123.35622,2025-03-01,27.12
32.16805,-115.23368,2025-03-02,0.66
32.6019,-115.4548,2025-03-02,0.28
32.62951,-115.39318,2025-03-02,0.91
34.35307,-116.85175,2025-03-02,1.05
34.62318,-117.10077,2025-03-02,1.4
35.22991,-118.92734,2025-03-02,0.44
35.23347,-118.92664,2025-03-02,0.34
37.50571,-121.0873,2025-03-02,0.8
37.94438,-122.39314,2025-03-02,2.19
37.94924,-122.39777,2025-03-02,0.91
38.07237,-122.14105,2025-03-02,1.74
38.9769,-122.05975,2025-03-02,0.55
34.16904,-119.05584,2025-03-02,4.1
34.20853,-119.1321,2025-03-02,3.9
34.59441,-117.51401,2025-03-02,1.57
36.54002,-120.06351,2025-03-02,4.99
36.54005,-120.02184,2025-03-02,10.89
36.54597,-120.0697,2025-03-02,3.91
38.18495,-121.22692,2025-03-02,4.01
38.48905,-121.97725,2025-03-02,1.24
37.94847,-122.4005,2025-03-03,1.22
38.07064,-122.14034,2025-03-03,1.33
32.62871,-115.38491,2025-03-03,0.82
32.85593,-115.39345,2025-03-03,0.59
33.61528,-117.82375,2025-03-03,0.77
33.71463,-117.7122,2025-03-03,0.72
33.71473,-117.71044,2025-03-03,0.99
33.79377,-117.47577,2025-03-03,0.75
33.81452,-118.2392,2025-03-03,0.98
33.81932,-118.24347,2025-03-03,1.42
33.85453,-118.33322,2025-03-03,1.54
34.03599,-118.10405,2025-03-03,0.27
34.04156,-117.82346,2025-03-03,0.48
34.15185,-118.19577,2025-03-03,1.48
34.29333,-118.80045,2025-03-03,0.67
34.31217,-119.26927,2025-03-03,0.58
34.33329,-118.51848,2025-03-03,1.01
34.33426,-118.51967,2025-03-03,0.85
34.43044,-118.64476,2025-03-03,1.37
37.74328,-122.37627,2025-03-03,1.74
37.9495,-122.39807,2025-03-03,1.02
34.31248,-119.269,2025-03-03,0.47
34.29301,-118.80061,2025-03-03,1.78
35.89875,-120.58061,2025-03-03,1.62
35.90027,-120.57932,2025-03-03,2.64
37.03824,-120.28754,2025-03-03,2.32
37.05807,-120.27492,2025-03-03,6.71
37.94733,-121.21455,2025-03-03,2.28
38.30385,-122.14522,2025-03-03,7.27
38.4014,-121.72766,2025-03-03,4.6
38.40268,-121.73103,2025-03-03,3.37
38.40381,-121.72604,2025-03-03,2.39
38.46094,-122.38911,2025-03-03,2.61
38.54731,-122.5153,2025-03-03,4.74
38.59447,-122.02304,2025-03-03,4.49
38.75049,-121.66763,2025-03-03,0.99
38.75349,-121.67169,2025-03-03,3.2
38.90703,-122.07376,2025-03-03,1.79
38.92296,-122.73054,2025-03-03,3.17
38.94133,-122.04268,2025-03-03,2.7
38.94247,-122.03764,2025-03-03,4.86
38.97373,-122.06011,2025-03-03,7.78
39.10358,-122.74657,2025-03-03,18.82
39.56678,-122.17939,2025-03-03,3.74
39.57094,-122.18094,2025-03-03,3.74
39.6829,-121.85822,2025-03-03,2.76
39.71838,-122.1571,2025-03-03,10.24
39.92799,-120.95913,2025-03-03,20.67
39.93172,-120.96124,2025-03-03,20.67
39.93302,-120.95519,2025-03-03,20.67
39.94674,-122.16743,2025-03-03,2.8
40.48651,-122.39222,2025-03-03,4.05
40.49061,-122.39384,2025-03-03,3.89
40.6311,-122.52275,2025-03-03,6.81
40.63528,-122.52407,2025-03-03,4.98
40.63948,-122.5253,2025-03-03,4.98
40.83351,-122.33337,2025-03-03,2.77
41.3241,-122.73884,2025-03-03,4.04
41.32828,-122.74008,2025-03-03,12.34
41.69727,-121.96303,2025-03-03,5.33
41.70118,-121.96455,2025-03-03,5.33
38.59785,-122.02551,2025-03-03,4.48
38.9419,-122.03757,2025-03-03,11.29
38.94258,-122.03813,2025-03-03,11.96
39.57121,-122.17683,2025-03-03,5.27
33.71588,-117.7123,2025-03-04,0.43
33.85225,-118.33173,2025-03-04,1.28
32.37304,-117.06922,2025-03-04,0.75
32.37333,-117.06839,2025-03-04,0.61
32.53341,-116.68658,2025-03-04,1.8
32.53371,-116.69038,2025-03-04,1.8
34.33345,-118.51911,2025-03-04,0.72
34.6206,-117.09962,2025-03-04,0.84
37.10849,-119.42542,2025-03-04,2.85
37.11339,-119.42285,2025-03-04,0.54
38.9393,-122.03875,2025-03-04,1.3
38.93958,-122.03706,2025-03-04,1.46
32.77484,-114.62149,2025-03-04,3.27
32.77904,-114.62272,2025-03-04,3.27
33.05586,-115.4788,2025-03-04,10.94
33.05699,-115.47366,2025-03-04,54.98
33.06023,-115.48016,2025-03-04,10.94
33.31573,-116.831,2025-03-04,27.43
33.49243,-116.09721,2025-03-04,5.11
33.49364,-116.09178,2025-03-04,10.59
33.75904,-114.45663,2025-03-04,8.23
34.05003,-114.43293,2025-03-04,12.2
34.05095,-114.42857,2025-03-04,12.2
34.37534,-118.95539,2025-03-04,1.45
34.40279,-118.82211,2025-03-04,3.52
35.68071,-120.52768,2025-03-04,2.41
36.39916,-115.70967,2025-03-04,21.81
36.40015,-115.70517,2025-03-04,21.81
36.50897,-121.5219,2025-03-04,4.97
36.51084,-121.52145,2025-03-04,4.1
39.73857,-114.16965,2025-03-04,14.59
39.74012,-114.18134,2025-03-04,15.31
39.74114,-114.17608,2025-03-04,15.31
39.74217,-114.17072,2025-03-04,17.99
41.63129,-121.74068,2025-03-04,4.58
34.40551,-118.82056,2025-03-04,5.2
35.74084,-119.91812,2025-03-04,8.96
37.79779,-119.91949,2025-03-04,14.76
37.79794,-119.91423,2025-03-04,27.78
37.80421,-119.91748,2025-03-04,14.76
39.68475,-121.85755,2025-03-04,2.81
39.68548,-121.85754,2025-03-04,2.15
36.36048,-114.91188,2025-03-05,0.45
40.36184,-121.05466,2025-03-05,5.56
32.49878,-116.31697,2025-03-05,0.97
32.57419,-115.40791,2025-03-05,0.3
32.57579,-115.40723,2025-03-05,0.44
32.85771,-117.02979,2025-03-05,0.56
34.43061,-118.64552,2025-03-05,0.87
34.62282,-117.09772,2025-03-05,0.81
35.23078,-118.92834,2025-03-05,0.89
40.7453,-122.97231,2025-03-05,5.01
40.494,-122.41647,2025-03-05,8.55
41.21101,-123.60087,2025-03-05,3.7
41.21518,-123.6017,2025-03-05,3.7
37.75588,-121.07756,2025-03-06,0.92
37.88465,-121.18668,2025-03-06,0.55
37.9439,-122.39368,2025-03-06,1.04
37.95122,-122.39664,2025-03-06,1.32
38.07338,-122.13972,2025-03-06,0.82
38.30125,-122.74844,2025-03-06,0.65
38.31559,-121.83238,2025-03-06,0.5
33.74381,-118.19,2025-03-06,0.8
33.79587,-117.47484,2025-03-06,1.0
33.85389,-118.3316,2025-03-06,1.17
34.24454,-118.38037,2025-03-06,0.73
34.29024,-118.80237,2025-03-06,0.77
34.29374,-118.80151,2025-03-06,0.77
32.07105,-115.02789,2025-03-06,3.47
32.07332,-115.03107,2025-03-06,2.49
35.70057,-119.13521,2025-03-06,2.81
35.70118,-119.16476,2025-03-06,3.63
38.51436,-121.89365,2025-03-06,6.89
38.51439,-121.89119,2025-03-06,6.3
38.51729,-121.89691,2025-03-06,9.75
38.93724,-122.03925,2025-03-06,4.88
38.93786,-122.03421,2025-03-06,23.15
38.97527,-122.05212,2025-03-06,4.74
39.00788,-122.13606,2025-03-06,21.25
39.02,-122.09728,2025-03-06,16.14
39.02275,-122.1,2025-03-06,5.87
39.11306,-123.16148,2025-03-06,2.48
39.30969,-122.69997,2025-03-06,17.45
39.31313,-122.70069,2025-03-06,9.44
39.56912,-122.17854,2025-03-06,4.19
39.64248,-121.99391,2025-03-06,5.63
39.64602,-121.99464,2025-03-06,5.59
41.76618,-122.65107,2025-03-06,6.36
41.7697,-122.65189,2025-03-06,6.36
41.73107,-123.97858,2025-03-06,3.92
41.75741,-123.88564,2025-03-06,3.96
32.59975,-117.01186,2025-03-07,0.96
33.74325,-118.19019,2025-03-07,0.67
33.79361,-118.3485,2025-03-07,0.28
33.81441,-118.2365,2025-03-07,0.94
33.81898,-118.24411,2025-03-07,0.94
33.85268,-118.33155,2025-03-07,1.78
34.15331,-118.1929,2025-03-07,1.21
34.24239,-118.38345,2025-03-07,0.45
34.28992,-118.80276,2025-03-07,0.84
34.29326,-118.80202,2025-03-07,0.84
34.31953,-118.51042,2025-03-07,0.45
34.33471,-118.52019,2025-03-07,1.32
34.33593,-118.51758,2025-03-07,0.41
34.4009,-118.99693,2025-03-07,0.28
34.42989,-118.64276,2025-03-07,0.91
34.43051,-118.64704,2025-03-07,0.91
36.3564,-114.91068,2025-03-07,1.02
37.24074,-119.21398,2025-03-07,1.61
37.24116,-119.21251,2025-03-07,0.94
37.24399,-119.20701,2025-03-07,1.89
37.4547,-121.93417,2025-03-07,0.87
37.45638,-121.93189,2025-03-07,0.7
37.88461,-121.18687,2025-03-07,0.83
37.95185,-122.39736,2025-03-07,0.98
38.07237,-122.14019,2025-03-07,1.74
38.16989,-120.07408,2025-03-07,1.56
38.76944,-122.65891,2025-03-07,0.26
38.9364,-122.03806,2025-03-07,1.64
38.96656,-122.09253,2025-03-07,0.62
39.00854,-122.13777,2025-03-07,0.61
39.02103,-122.09958,2025-03-07,1.69
39.30349,-122.71666,2025-03-07,1.24
39.30772,-122.71675,2025-03-07,1.29
39.31059,-122.70261,2025-03-07,2.14
39.31475,-122.70201,2025-03-07,0.67
39.3152,-122.70666,2025-03-07,1.84
39.62007,-119.26399,2025-03-07,1.19
39.90201,-122.17483,2025-03-07,0.63
34.28395,-116.79198,2025-03-07,6.54
34.28617,-116.80159,2025-03-07,32.52
34.28677,-116.79712,2025-03-07,6.54
34.28737,-116.79259,2025-03-07,6.54
36.52576,-119.90322,2025-03-07,1.28
36.63171,-121.60869,2025-03-07,1.57
36.71363,-119.96394,2025-03-07,2.07
37.59104,-120.79348,2025-03-07,2.01
37.59335,-120.67772,2025-03-07,1.89
37.59577,-120.67728,2025-03-07,4.77
37.91806,-121.67311,2025-03-07,2.84
38.02932,-122.24548,2025-03-07,2.24
38.03603,-122.24735,2025-03-07,4.5
38.05138,-120.35296,2025-03-07,1.68
38.16811,-120.07385,2025-03-07,4.43
38.19993,-121.38882,2025-03-07,1.51
38.34526,-121.55788,2025-03-07,2.57
38.40221,-121.71695,2025-03-07,2.19
38.46631,-122.03558,2025-03-07,3.74
38.51704,-121.89902,2025-03-07,8.27
38.52111,-121.89545,2025-03-07,16.86
38.62785,-121.58357,2025-03-07,1.31
38.92438,-122.73663,2025-03-07,4.19
38.9369,-122.03934,2025-03-07,2.33
39.02236,-122.099,2025-03-07,1.7
39.02765,-121.65623,2025-03-07,2.0
39.05047,-122.09728,2025-03-07,1.32
39.15622,-122.15737,2025-03-07,1.53
39.1928,-123.21835,2025-03-07,2.51
39.19363,-123.21359,2025-03-07,2.51
39.66244,-121.85642,2025-03-07,20.2
39.73156,-121.59818,2025-03-07,1.72
40.34457,-122.2459,2025-03-07,1.55
40.50673,-123.77125,2025-03-07,5.88
40.51013,-123.77223,2025-03-07,5.88
41.21056,-123.6057,2025-03-07,48.62
41.21395,-123.60656,2025-03-07,5.17
41.23732,-123.4715,2025-03-07,4.25
41.74635,-122.65047,2025-03-07,3.69
41.75429,-123.88697,2025-03-07,2.76
37.5938,-120.61027,2025-03-08,9.72
37.95076,-122.40091,2025-03-08,0.99
38.0708,-122.14028,2025-03-08,1.47
39.02961,-121.65314,2025-03-08,0.74
39.02986,-121.65694,2025-03-08,0.74
39.66274,-121.8586,2025-03-08,1.19
40.82296,-114.25723,2025-03-08,0.92
32.35023,-116.59453,2025-03-08,0.9
32.3538,-116.59376,2025-03-08,0.86
32.39857,-114.76807,2025-03-08,1.6
32.85619,-117.14679,2025-03-08,0.71
32.85705,-117.03078,2025-03-08,0.75
33.49096,-117.6165,2025-03-08,0.96
33.6148,-117.82474,2025-03-08,0.88
33.8203,-118.24613,2025-03-08,1.39
33.854,-118.33369,2025-03-08,1.27
34.15144,-118.19489,2025-03-08,0.89
34.15536,-118.19389,2025-03-08,0.89
34.29068,-118.80238,2025-03-08,1.29
34.32117,-118.51189,2025-03-08,0.4
34.3346,-118.52224,2025-03-08,0.8
34.42969,-118.6461,2025-03-08,1.23
36.35712,-114.90944,2025-03-08,0.74
37.5916,-120.60771,2025-03-08,2.16
37.94893,-122.39711,2025-03-08,0.96
39.66265,-121.85561,2025-03-08,0.59
32.21564,-114.90613,2025-03-08,1.26
32.30829,-114.98228,2025-03-08,12.1
32.39698,-114.76603,2025-03-08,3.26
34.64013,-117.35625,2025-03-08,97.72
34.85847,-120.38454,2025-03-08,2.84
34.8939,-120.29237,2025-03-08,6.52
36.55799,-119.49838,2025-03-08,2.2
36.56943,-119.47919,2025-03-08,3.01
36.88962,-121.82526,2025-03-08,6.73
36.89058,-121.82078,2025-03-08,6.73
37.59289,-120.69566,2025-03-08,9.14
37.95418,-121.02596,2025-03-08,4.78
37.95797,-121.02717,2025-03-08,4.34
38.59546,-122.02776,2025-03-08,1.45
38.81837,-122.17677,2025-03-08,2.42
38.96288,-122.09594,2025-03-08,19.31
39.00533,-122.13871,2025-03-08,2.93
39.00923,-122.14011,2025-03-08,10.11
39.01003,-121.63171,2025-03-08,5.44
39.0304,-121.65179,2025-03-08,3.24
39.03422,-121.65308,2025-03-08,3.14
39.09179,-119.5059,2025-03-08,10.08
39.17487,-121.74268,2025-03-08,9.72
39.17517,-121.74135,2025-03-08,9.98
39.58196,-118.72287,2025-03-08,1.47
39.66267,-121.85477,2025-03-08,9.99
40.02608,-123.30795,2025-03-08,4.35
40.50969,-123.76819,2025-03-08,5.25
40.50973,-123.77148,2025-03-08,5.07
41.23494,-123.47042,2025-03-08,5.24
33.81268,-118.23849,2025-03-09,1.06
33.81842,-118.24545,2025-03-09,1.17
33.85093,-118.33334,2025-03-09,1.21
33.85618,-118.33279,2025-03-09,0.57
33.90956,-118.41189,2025-03-09,0.88
34.15197,-118.1946,2025-03-09,0.67
34.29237,-118.80479,2025-03-09,0.77
34.33299,-118.52195,2025-03-09,0.61
34.43094,-118.64661,2025-03-09,0.77
36.35852,-114.91034,2025-03-09,1.83
37.58035,-120.59921,2025-03-09,0.81
37.58744,-120.62228,2025-03-09,10.83
37.58767,-120.6281,2025-03-09,10.83
37.94896,-122.40092,2025-03-09,1.62
38.07235,-122.14206,2025-03-09,1.46
38.96174,-122.09671,2025-03-09,0.62
39.26135,-122.69392,2025-03-09,2.03
32.37046,-117.07045,2025-03-09,0.79
32.4939,-116.83207,2025-03-09,1.45
32.49442,-116.8379,2025-03-09,1.45
32.49909,-116.83662,2025-03-09,1.47
32.63135,-115.5592,2025-03-09,1.53
32.63165,-115.56068,2025-03-09,1.33
32.85844,-117.03032,2025-03-09,0.82
33.7159,-117.71334,2025-03-09,0.82
33.8028,-118.24522,2025-03-09,0.47
33.81295,-118.24037,2025-03-09,0.96
33.81845,-118.24358,2025-03-09,1.15
33.8518,-118.3301,2025-03-09,1.06
33.85276,-118.33042,2025-03-09,1.41
34.15364,-118.19235,2025-03-09,0.61
37.58329,-120.59888,2025-03-09,3.55
37.58334,-120.62058,2025-03-09,4.26
37.58438,-120.62453,2025-03-09,4.55
37.58942,-120.62233,2025-03-09,4.55
37.88455,-121.18433,2025-03-09,0.25
38.0708,-122.1389,2025-03-09,1.89
38.96141,-122.09248,2025-03-09,1.36
39.26119,-122.6944,2025-03-09,1.38
39.26208,-122.69292,2025-03-09,1.1
32.49457,-116.83218,2025-03-09,1.5
32.41386,-115.37288,2025-03-09,12.51
32.59053,-116.52525,2025-03-09,4.05
34.15354,-114.29961,2025-03-09,2.13
37.58739,-119.86609,2025-03-09,2.1
38.06473,-121.22139,2025-03-09,4.87
38.06859,-121.18481,2025-03-09,1.83
40.03105,-123.30936,2025-03-09,6.86
40.03108,-123.30957,2025-03-09,4.64
40.03189,-123.30622,2025-03-09,11.81
40.03192,-123.3064,2025-03-09,12.63
